Amount,Delay,duration,response,BaseAmount,BaseDelay,RefID,duration_in_seconds,Age,Degree,Essentials,Investments,Leisure,Happiness,Sleep,Stress
65.0,12,699.911999976146,1,20.0,0,1,0.6999119999761461,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
50.0,4,599.8339999761665,1,20.0,0,1,0.5998339999761665,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
80.0,52,1298.8520000000135,1,20.0,0,1,1.2988520000000134,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
130.0,2,850.9980000476935,1,20.0,0,1,0.8509980000476935,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
50.0,24,850.1259999761824,1,20.0,0,1,0.8501259999761823,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
50.0,2,991.6539999999804,1,20.0,0,1,0.9916539999999805,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
80.0,24,1762.454000047699,1,20.0,0,1,1.7624540000476991,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
30.0,52,877.0520000000251,1,20.0,0,1,0.8770520000000251,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
130.0,52,1231.8480000476702,1,20.0,0,1,1.2318480000476701,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
80.0,2,1140.058000071498,1,20.0,0,1,1.1400580000714982,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
30.0,12,1406.164000071527,1,20.0,0,1,1.406164000071527,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
130.0,12,1484.1140000715386,1,20.0,0,1,1.4841140000715387,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
50.0,52,3089.734000071534,1,20.0,0,1,3.089734000071534,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
25.0,4,1546.9180000715423,0,20.0,0,1,1.5469180000715423,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
30.0,4,1718.1740000238642,1,20.0,0,1,1.7181740000238641,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
50.0,12,967.0700000476792,1,20.0,0,1,0.9670700000476792,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
50.0,1,1718.6359999999986,1,20.0,0,1,1.7186359999999985,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
130.0,4,951.6320000476552,1,20.0,0,1,0.9516320000476552,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
25.0,24,1302.3640000000014,0,20.0,0,1,1.3023640000000014,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
25.0,1,1945.4100000238395,1,20.0,0,1,1.9454100000238395,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
30.0,1,1687.4820000476902,1,20.0,0,1,1.6874820000476902,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
25.0,52,1089.2100000715,0,20.0,0,1,1.0892100000715,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
25.0,2,5302.514000000025,0,20.0,0,1,5.302514000000024,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
65.0,1,2530.619999999996,1,20.0,0,1,2.530619999999996,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
65.0,52,2115.9820000476902,1,20.0,0,1,2.11598200004769,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
65.0,2,1452.8940000715083,1,20.0,0,1,1.4528940000715083,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
25.0,12,1097.2460000476567,0,20.0,0,1,1.0972460000476567,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
65.0,24,3042.5840000238386,1,20.0,0,1,3.0425840000238384,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
30.0,2,1046.0,1,20.0,0,1,1.046,21.0,Undergraduate,70%,20%,10%,5.0,7.0,4.0
